Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF025_1967_CT_SU2011_VA_08	tt-5144	y	CC	Conjunction	y	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5145	después	ADV	Adverb	después	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5146	él	PPX	Pronoun	él	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5147	regresó	VLfin	Verb	regresar	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5148	al	PAL	Preposition	al	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5149	siguiente	ADJ	Adjective	siguiente	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5150	día	NC	Noun	día	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5151	,	CM	Punctuation	,	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5152	no	NEG	Adverb	no	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5153	sé	VLfin	Verb	saber|ser	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA	Pres	Indi	Sing	1st
MF025_1967_CT_SU2011_VA_08	tt-5154	por	ADV	Adverb	por	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5155	qué	ADV	Adverb	qué	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5156	regresó	VLfin	Verb	regresar	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5157	,	CM	Punctuation	,	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5158	pero	CCAD	Conjunction	pero	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5159	él	PPX	Pronoun	él	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5160	regresó	VLfin	Verb	regresar	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5161	al	PAL	Preposition	al	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5162	siguiente	ADJ	Adjective	siguiente	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5163	día	NC	Noun	día	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5164	y	CC	Conjunction	y	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5165	de	PREP	Preposition	de	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5166	ahí	ADV	Adverb	ahí	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5167	seguimos	VLfin	Verb	seguir	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA	Pres or Pret	Indi	Plural	1st
MF025_1967_CT_SU2011_VA_08	tt-5168	uhm	NP	Noun	<unknown>	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5169	...	DOTS	Punctuation	...	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5170	platicando	VLger	Verb	platicar	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5171	.	FS	Punctuation	.	>>s	00:00:49	00:00:55	7	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5172	Después	ADV	Adverb	después	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5173	,	CM	Punctuation	,	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5174	él	PPX	Pronoun	él	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5175	...	DOTS	Punctuation	...	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5176	él	PPX	Pronoun	él	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5177	llegó	VLfin	Verb	llegar	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5178	a	PREP	Preposition	a	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5179	ir	VLinf	Verb	ir	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA	Infinitive			
MF025_1967_CT_SU2011_VA_08	tt-5180	ahí	ADV	Adverb	ahí	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5181	,	CM	Punctuation	,	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5182	a	PREP	Preposition	a	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5183	reuniones	NC	Noun	reunión	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Plural	
MF025_1967_CT_SU2011_VA_08	tt-5184	en	PREP	Preposition	en	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5185	mi	PPO	Pronoun	mío	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5186	casa	NC	Noun	casa	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5187	,	CM	Punctuation	,	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5188	que	CQUE	Conjunction	que	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5189	teníamos	VLfin	Verb	tener	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA	Imp	Indi	Plural	1st
MF025_1967_CT_SU2011_VA_08	tt-5190	reuniones	NC	Noun	reunión	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA			Plural	
MF025_1967_CT_SU2011_VA_08	tt-5191	para	CSUBI	Conjunction	para	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5192	estudiar	VLinf	Verb	estudiar	>>s	00:00:55	00:01:02	8	Spanish	MF025_1967_CT_SU2011_VA	Infinitive			
